class,name,Dwellings_without_basic_facilities,Housing_expenditure,Rooms_per_person,Household_net_adjusted_disposable_income,Household_net_financial_wealth,Labour_market_insecurity,Employment_rate,Long-term_unemployment_rate,Personal_earnings,Quality_of_support_network,Educational_attainment,Student_skills,Years_in_education,Air_pollution,Water_quality,Stakeholder_engagement_for_developing_regulations,Voter_turnout,Life_expectancy,Self-reported_health,Life_satisfaction,Feeling_safe_walking_alone_at_night,Homicide_rate,Employees_working_very_long_hours,Time_devoted_to_leisure_and_personal_care
Africa,South_Africa,20.5,18,0.7,8712,16937,22.6,43,14.37,5429,90,65,384,15.4,14,69,1.6,73,56.8,67,4.9,39.8,9.6,18.07,14.73
Asia,Israel,4.4,21,1.2,22116,50051,3.9,68,0.63,29635,86,85,474,15.9,26,65,0.9,72,82.1,80,7.1,66.3,1.8,14.74,13.94
Asia,Japan,6.4,22,1.9,27323,92818,2.4,73,1.36,35672,91,94,540,16,16,87,1.3,53,83.4,35,5.9,70.2,0.3,21.89,14.85
Asia,Korea,4.2,16,1.4,19372,30852,2.1,65,0.01,36653,76,85,542,17.5,29,78,2.4,76,81.8,35,5.8,67.7,1.1,23.12,14.7
Asia,Russia,14.4,11,0.9,17006,3687,5.1,69,1.45,26977,91,95,481,16.1,14,49,0.8,65,70.7,39,6,52.9,11.3,0.18,14.91
Australia,Australia,1.1,20,2.3,33138,48836,3.9,72,1.32,51148,95,77,512,19.2,6,94,2.7,93,82.2,85,7.3,62.6,0.8,13.39,14.35
Australia,New_Zealand,0.3,23,2.4,23213,81271,4.9,74,0.78,45183,99,74,509,18,9,92,2.5,77,81.4,90,7.4,64.4,1.2,13.78,14.87
Europe,Austria,1,21,1.6,31667,55623,2.2,71,1.53,45988,93,84,500,17.1,15,93,1.3,75,81.2,69,7.1,81.2,0.4,7.32,14.55
Europe,Belgium,2.1,21,2.2,28700,89057,3.6,62,4.26,48093,88,74,509,18.8,19,83,2.2,89,80.7,74,6.9,69.6,1.1,4.73,15.77
Europe,Czech_Republic,0.7,26,1.4,18953,20170,4.7,69,2.72,21185,90,93,500,17.4,17,88,2.6,59,78.3,60,6.6,70.1,0.9,5.99,15.03
Europe,Denmark,0.5,25,1.9,26945,54839,2.3,73,1.66,49589,96,80,498,19.6,11,95,2.1,86,80.4,72,7.5,85.2,0.3,2.21,15.87
Europe,Estonia,7.2,19,1.6,16565,15728,7.6,70,3.32,21020,90,91,526,17.8,9,84,2.8,64,77.3,53,5.6,67.2,4.8,3.29,14.9
Europe,Finland,0.6,22,1.9,28238,24482,2.6,69,1.97,40742,94,87,529,19.7,7,94,2.3,69,81.1,65,7.4,85.8,1.5,3.6,15.17
Europe,France,0.5,21,1.8,29759,53851,4.6,64,4.21,40828,89,75,500,16.4,14,84,2.1,80,82.3,67,6.4,70.6,0.6,7.77,16.36
Europe,Germany,0,22,1.8,31925,49822,2.7,74,2.21,43872,92,87,515,18.1,15,94,2.1,72,80.9,65,7,74.6,0.5,4.96,15.55
Europe,Greece,0.5,26,1.2,18099,17568,32,49,19.47,26436,83,68,466,18.5,15,69,1.9,64,81.4,74,5.6,62.5,1.5,6.37,14.74
Europe,Hungary,5.3,20,1.1,15614,17774,7.8,62,3.78,21399,82,83,487,17.2,16,76,1.2,62,75.7,57,5.3,53.2,1.2,3.76,15.04
Europe,Iceland,0,24,1.6,27918,54275,0.7,82,0.67,56789,96,73,484,19.6,7,97,1.6,81,82.1,77,7.5,78.1,0.3,13.79,14.13
Europe,Ireland,0.1,20,2,22969,31861,5,61,6.98,53286,95,79,516,17.8,8,82,0.8,70,81.1,82,6.8,77,0.8,4.11,15.3
