class,name,danceability,popularity,energy,acousticness,instrumentalness,liveness,valence
black metal,Key to the Gate,0.0966,0.19,0.88,0.0000388,662,105,256
black metal,Trumpets Of Doom,0.24,0.14,996,0.0000134,0.00266,179,147
black metal,Tunnel of Set XIII,285,0.04,0.0945,835,927,0.0898,0.0432
black metal,Hail Murder - Live In South America 2003,152,0.13,983,0.0000206,0.00531,953,0.0482
black metal,Moti Ragnarokum,481,0.18,281,937,0.91,226,259
black metal,Hail Murder,208,0.26,934,0.00000124,0.00174,928,0.0347
black metal,Key To The Gate,153,0.27,778,0.00893,903,403,112
black metal,Tunnel of Set XIII,327,0.06,102,863,863,456,0.0397
black metal,Krigaren si gravferd,351,0.11,839,0.000625,0.0813,203,0.0372
black metal,PERVERTOR OF THE 7 GATES,277,0.03,993,0.00304,428,179,141
black metal,Love In A Void,103,0.03,997,0.00728,0.0185,385,0.0487
black metal,Osiris,0.46,0.19,975,0.00000343,639,309,242
black metal,A World Of Bones,242,0.04,718,0.0000136,923,134,416
black metal,Pervertor Of The 7 Gates,276,0.04,994,0.00334,417,406,149
black metal,Tunnel of Set XIII,303,0,116,815,955,377,0.0601
black metal,Bellum Omnium Contra Omnes,284,0.05,633,0.00000109,0.0195,0.0949,0.0349
black metal,Ghastly Indoctrination,332,0.12,813,0.000022,812,203,0.04
death metal,Fear of Napalm,224,0.17,946,0.0000077,861,216,374
death metal,Go To Hell,0.22,0.23,971,0.00000732,198,0.0852,346
death metal,Pull the Plug - Live in L.A. Death & Raw – 1998,175,0.16,957,0.000149,0.0234,722,285
death metal,Tomorrow's Victim,377,0.18,717,0.000219,831,121,302
death metal,Stillborn Saviour,187,0.23,912,0.00000442,0.0000345,558,176
death metal,Divine in fire,322,0.04,995,0.000164,0.00188,323,104
death metal,Lunatic Of God's Creation - Reissue,298,0.29,996,0.0000218,218,0.0947,0.0649
death metal,Thrasher's Abbatoir,148,0.26,998,0.0000031,184,184,0.0602
death metal,Silent Violence,378,0.06,0.92,0.0000261,845,0.0849,495
death metal,Sacred Serenity,444,0.03,0.99,0.0000148,374,0.0392,326
death metal,Evidence In The Furnace,521,0.24,991,0.000207,597,0.0707,0.17
death metal,Misanthrope,397,0.29,987,0.000232,0.00282,145,213
death metal,Oxidised Razor Masticator,0.21,0.05,0.87,0.00162,667,342,0.0396
death metal,Misanthrope,397,0.28,987,0.000232,0.00282,145,213
death metal,Pull the Plug - Live at Backstreets,164,0.14,957,609,212,855,0.0442
death metal,Go to Hell,319,0.18,969,0.0000519,506,0.0874,0.0379
death metal,No Sympathy For Fools,431,0.18,903,0.0000261,0.0362,273,389
death metal,Year One Now,0.13,0.16,943,0.0000017,0.000174,299,0.18
death metal,Misanthrope - Demo,286,0.18,824,0.00109,572,0.16,544
death metal,Together as One,311,0.21,945,0.0000123,286,0.0915,386
death metal,Silent Violence,429,0.23,941,0.00032,728,0.0882,342
death metal,Shreds Of Flesh,173,0.12,0.98,0.00000668,404,175,104
death metal,Pull the Plug,226,0.41,978,0.0000036,533,0.0436,252
death metal,Nothing Is Everything,379,0.25,974,0.00000651,233,0.0203,225
death metal,The Ancient Ones,303,0.21,882,0.000327,0.00378,134,535
death metal,Addicted to Vaginal Skin,244,0.34,987,0.0000566,779,0.0664,256
death metal,Deathrow (no regrets),167,0.07,454,0.00531,0.0347,108,215
death metal,Livestock Marketplace,447,0.09,941,0.0000616,155,0.0935,577
death metal,Amok,437,0.1,886,0.0000399,0.0248,122,268
death metal,Bible Basher,335,0.22,944,0.00243,419,103,436
death metal,Pull the Plug - 12/05/87 Rehearsals,154,0.16,938,0.0994,0.52,355,167
death metal,Shreds Of Flesh,181,0.04,974,0.00000634,308,255,128
death metal,So You Die,318,0.33,947,0.00000135,909,0.0694,311
death metal,Let the Stillborn Come to Me,224,0.21,963,0.0000019,164,368,201
death metal,Silent Violence,321,0.15,955,0.0000416,898,973,196
death metal,Deathrow (no Regrets),0.27,0.07,485,0.00319,0.0574,199,261
death metal,Thrasher's Abbatoir,148,0.19,998,0.0000031,184,184,0.0602
death metal,Painkiller,428,0.38,995,0.0000206,429,305,135
death metal,Nothing Is Everything,412,0.22,943,0.0000923,0.0956,166,159
death metal,Out Of Touch,261,0.23,961,0.0000322,0.0543,155,364
death metal,By The Light,256,0.19,709,0.000136,0.2,183,476
death metal,Crucified For The Innocence,258,0.19,993,0.000224,631,125,122
death metal,Together As One,268,0.28,962,0.000169,325,0.0599,193
death metal,War is Coming,0.34,0.23,936,3,0.0455,445,381
death metal,Silent Violence,368,0.14,883,0.000453,0.87,351,107
death metal,Shreds Of Flesh,179,0.02,972,0.00000715,0.38,0.2,144
death metal,Room 101,338,0.24,855,0.00000716,184,118,386
death metal,Together as One,311,0.24,945,0.0000123,286,0.0915,386
death metal,Deathrow (no regrets),239,0.09,508,0.00375,0.0334,258,227
death metal,Addicted to Vaginal Skin (Live),195,0.14,955,437,769,903,234
death metal,Oxidised Razor Masticator,209,0.1,0.87,0.0216,878,482,0.0929
